Title,Author,year
Epistemic Beliefs and Achievement Goal Orientations: Relations between Constructs versus Personal Profiles,"Madjar, Nir; Weinstock, Michael; Kaplan, Avi",2017
The Impact of Three Years of Professional Development on Knowledge and Implementation,"Wolbers, Kimberly A.; Dostal, Hannah M.; Skerrit, Paulson; Stephenson, Brenda",2017
The Effects of Teaching Mental Calculation in the Development of Mathematical Abilities,"Ruiz, Carola; Balbi, Alejandra",2019
"Building on the Past, Bridging to the Future: A Research Agenda for the Center for the Improvement of Early Reading Achievement","Hiebert, Elfrieda H.; Pearson, P. David",2000
Comparison of Taiwan Science Students' Outcomes with Inquiry-Group versus Traditional Instruction,"Chang, Chun-Yen; Mao, Song-Ling",1999
"Relationship between Social Context, Self-Efficacy, Motivation, Academic Achievement, and Intention to Drop Out of High School: A Longitudinal Study","Alivernini, Fabio; Lucidi, Fabio",2011
Learning Mathematics in Different Mastery Environments,"Mevarech, Zemira R.",1991
Meaning of Parental Involvement among Korean Immigrant Parents: A Mixed-Methods Approach,"Kim, Yanghee Anna; An, Sohyun; Kim, Hyun Chu Leah; Kim, Jihye",2018
"Effects of Self-Directed Learning, Story Comprehension, and Self-Questioning in Kindergarten","Glaubman, Rivka; Glaubman, Hananyah; Ofir, Lea",1997
Effects of Cooperative Learning on Achievement and Attitude among Students of Color,"Vaughan, Winston",2002
Understanding Student Behavioral Engagement: Importance of Student Interaction with Peers and Teachers,"Nguyen, Tuan Dinh; Cannata, Marisa; Miller, Jason",2018
"Building a Community in Which Everyone Teaches, Learns, and Reads: A Case Study","Gilrane, Colleen P.; Russell, Lisa Anne; Roberts, Melba L.",2008
Project-Based Geometry Learning: Knowledge and Attitude of Field-Dependent/Independent Cognitive Style Students,"Ubuz, Behiye; Aydinyer, Yurdagül",2019
Effects of Task Roles on Participation and Productivity in the Intermediate Grades,"Wilcox, Brad; Williams, Lisa; Reutzel, D. Ray",1997
High School Male and Female Learning-Style Similarities and Differences in Diverse Nations,"Honigsfeld, Andrea; Dunn, Rita",2003
Using Separate Answer Sheets with Grade 3 Students,"Brooks, Thomas; O'Malley, Kimberly; Ragland, Shelley; Young, Michael; Kirkpatrick, Rob",2014
A Comparison of Two Mathematics Problem-Solving Strategies: Facilitate Algebra-Readiness,"Xin, Yan Ping; Zhang, Dake; Park, Joo Young; Tom, Kinsey; Whipple, Amanda; Si, Luo",2011
Reciprocal Relationships between Attitude toward Mathematics and Achievement in Mathematics,"Ma, Xin",1997
Determinants of Teachers' Recognitions of Self-Regulated Learning Practices in Elementary Education,"Lombaerts, Koen; Engels, Nadine; van Braak, Johan",2009
Understanding the Gap in Mathematics Achievement of Malaysian Students,"Ismail, Noor Azina",2009
National Academies Piece on Integrated STEM,"Pearson, Greg",2017
Summoning Prior Knowledge through Metaphorical Graphics: An Example in Chemistry Instruction,"Stroud, Michael J.; Schwartz, Neil H.",2010
Student-Designed Games in Secondary Education. Effects and Perspectives from Students and Teachers,"Fernandez-Rio, Javier; Morales-Sallés, Pablo",2020
Exploring a Conceptual Model-Based Approach to Teaching Situated Word Problems,"Xin, Yan Ping; Zhang, Dake",2009
Elementary School Teachers' Sense of Efficacy for Character Education,"Milson, Andrew J.; Mehlig, Lisa M.",2002
Gender and Race as Variables in Psychosocial Adjustment to Middle and High School,"Akos, Patrick; Galassi, John P.",2004
Involvement Counts: Family and Community Partnerships and Mathematics Achievement,"Sheldon, Steven B.; Epstein, Joyce L.",2005
Multimodels of Teacher Effectiveness: Implications for Research,"Cheng, Yin Cheong; Tsui, Kwok Tung",1999
Assessing Resilience in Students Who Are Deaf or Blind: Supplementing Standardized Achievement Testing,"Butler, Michelle A.; Katayama, Andrew D.; Schindling, Casey; Dials, Katherine",2018
A Dynamic Professional Development School Partnership in Science Education,"Scharmann, Lawrence C.",2007
"Effects of Student Uniforms on Attendance, Behavior Problems, Substance Use, and Academic Achievement","Brunsma, David L.; Rockquemore, Kerry A.",1998
Development of Handwriting Speed and Legibility in Grades 1-9,"Graham, Steve; Berninger, Virginia; Weintraub, Naomi; Schafer, William",1998
Uncovering the Structure of and Gender and Developmental Differences in Cyber Bullying,"Griezel, Lucy; Finger, Linda R.; Bodkin-Andrews, Gawaian H.; Craven, Rhonda G.; Yeung, Alexander Seeshing",2012
Student Attitudes toward and Recall of Outside Day: An Environmental Science Field Trip,"Nadelson, Louis S.; Jordan, J. Richard",2012
Cognitive Load and Alternative Conceptions in Learning Genetics: Effects from Provoking Confusion,"Poehnl, Sabine; Bogner, Franz X.",2013
An Investigation of Eighth Grade Students' Mathematical Communication Competency and Affective Characteristics,"Ata Baran, Ayla; Kabael, Tangül",2021
Effects of Neighborhood Socioeconomic Characteristics and Class Composition on Highly Competent Children,"Maggi, Stefania; Hertzman, Clyde; Kohen, Dafina; D'Angiulli, Amedio",2004
Summer Birth Date Children: Kindergarten Entrance Age and Academic Achievement,"Crosser, Sandra L.",1991
The Effects of a Collaborative Argumentation Intervention on Chinese Students' Socioscientific Issues Decision-Making,"Zhu, Yucheng; He, Aiwen",2022
"Effect of the GeoGebra Software-Supported Collaborative Learning Environment on Seventh Grade Students' Geometry Achievement, Retention and Attitudes","Birgin, Osman; Topuz, Faden",2021
Academic Motivations of Yi Youths in China: Classmate Support and Ethnic Identity,"Lai, Angel Hor Yan; Chui, Cheryl Hiu-Kwan; Wong, Kin-Yu; Chan, Cecilia Lai Wan",2019
Progress of Handwriting Research in the 1980s and Future Prospects,"Dobbie, Linda; Askov, Eunice N.",1995
Balanced Literacy in an Urban School District,"Frey, Bruce B.; Lee, Steve W.; Tollefson, Nona; Pass, Lisa; Massengill, Donita",2005
Examining the Reliability of Running Records: Attaining Generalizable Results,"Fawson, Parker C.; Ludlow, Brian C.; Reutzel, D. Ray; Sudweeks, Richard; Smith, John A.",2006
Factors Related to Instructors' Willingness to Participate in Distance Education,"Lee, Jo Ann; Busch, Patricia Ellen",2005
Cognitive Influences of Students' Alternative Conceptions within a Hands-On Gene Technology Module,"Franke, Gaitano; Bogner, Franz X.",2011
The Impact of High School Exit Exams on Graduation Rates and Achievement,"Caves, Katherine; Balestra, Simone",2018
Differential Improvement in Student Understanding of Mathematical Principles following Formative Assessment Intervention,"Phelan, Julia; Choi, Kilchan; Vendlinski, Terry; Baker, Eva; Herman, Joan",2011
Exploring Teacher Perceptions of Small Boys in Kindergarten,"Smith, Julia; Niemi, Nancy",2007
Cultural Differences in Academic Motivation Goals: A Meta-Analysis across 13 Societies,"Dekker, Sonja; Fischer, Ronald",2008
Trajectories from Academic Intrinsic Motivation to Need for Cognition and Educational Attainment,"Gottfried, Adele Eskeles; Nylund-Gibson, Karen; Gottfried, Allen W.; Morovati, Diane; Gonzalez, Amber M.",2017
Teaching Primary Mathematics with Challenging Tasks: How Should Lessons Be Structured?,"Russo, James; Hopkins, Sarah",2019
Exploring the Potential for Students to Develop Self-Awareness through Personalized Learning,"DeMink-Carthew, Jessica; Netcoh, Steven; Farber, Katy",2020
Why History of Education?,"Kliebard, Herbert M.",1995
Project-Based Learning Environments: Challenging Preservice Teachers to Act in the Moment,"Wilhelm, Jennifer; Sherrod, Sonya; Walters, Kendra",2008
Virtual-Reality-Based Social Interaction Training for Children with High-Functioning Autism,"Ke, Fengfeng; Im, Tami",2013
Classroom Organization and Student Behavior in Kindergarten,"Finn, Jeremy D.; Pannozzo, Gina M.",2004
The Influence of Instructional Variables and Task Constraints on Handwriting Performance,"Fitzpatrick, Paula; Vander Hart, Nanho; Cortesa, Cathryn",2013
Classroom Discourse and Disability: Interactional Opportunities for Development of Self-Determination Beliefs,"Louick, Rebecca; Wang, Min",2021
The (Non)effect of Joint Construction in a Genre-Based Approach to Teaching Writing,"Hermansson, Carina; Jonsson, Bert; Levlin, Maria; Lindhé, Anna; Lundgren, Berit; Norlund Shaswar, Annika",2019
Collaborative Curriculum Design to Increase Science Teaching Self-Efficacy: A Case Study,"Velthuis, Chantal; Fisser, Petra; Pieters, Jules",2015
Longitudinal Study of Direct Instruction Effects from First through Third Grades,"Ryder, Randall J.; Burton, Jennifer Lyn; Silberg, Anna",2006
Ideation to Implementation: A 4-Year Exploration of Innovating Education through Maker Pedagogy,"Shively, Kate; Stith, Krista; DaVia Rubenstein, Lisa",2021
Elementary Magnet School Students' Interracial Interaction Choices,"Dickinson, Gerald B.; Holifield, Mitchell L.; Holifield, Glenda; Creer, Donna Grady",2000
"Race/Ethnicity and Early Mathematics Skills: Relations between Home, Classroom, and Mathematics Achievement","Sonnenschein, Susan; Galindo, Claudia",2015
The Influence of Approach and Avoidance Goals on Conceptual Change,"Johnson, Marcus Lee; Sinatra, Gale M.",2014
"Force and Motion Misconceptions' Pliability, the Case of Moroccan High School Students","Bouzid, Tariq; Kaddari, Fatiha; Darhmaoui, Hassane",2022
Processing Instruction in Helping Map Forms and Meaning in Second Language Acquisition of English Simple Past,"Chan, Mable",2018
The Power of Student Empowerment: Measuring Classroom Predictors and Individual Indicators,"Kirk, Chris Michael; Lewis, Rhonda K.; Brown, Kyrah; Karibo, Brittany; Park, Elle",2016
Investigating Effect of Origami-Based Instruction on Elementary Students' Spatial Skills and Perceptions,"Cakmak, Sedanur; Isiksal, Mine; Koc, Yusuf",2014
The Impact of Diacritic Marking on Listening Comprehension Skills in Arabic Orthography,"Abu Rabia, Salim; Haj, Amani",2021
Socially Oriented Motivational Goals and Academic Achievement: Similarities between Native and Anglo Americans,"Ali, Jinnat; McInerney, Dennis M.; Craven, Rhonda G.; Yeung, Alexander Seeshing; King, Ronnel B.",2014
Self-Regulation of Mathematics Homework Behavior: An Empirical Investigation,"Xu, Jianzhong; Du, Jianxia; Fan, Xitao",2017
"""I'm Not Learning"": The Role of Academic Relevancy for Low-Achieving Students","Crumpton, Howard E.; Gregory, Anne",2011
Exploratory Two-Level Analysis of Individual- and School-Level Factors on Truant Youth Emotional/Psychological Functioning,"Dembo, Richard; Wareham, Jennifer; Schmeidler, James; Winters, Ken C.",2016
Teaching Moves and Preschoolers' Arithmetical Accuracy,"Banse, Holland W.; Clements, Douglas H.; Day-Hess, Crystal; Sarama, Julie; Simoni, Marisa; Ratchford, Julia",2020
Enhancing Student Motivation: A Longitudinal Intervention Study Based on Future Time Perspective Theory,"Schuitema, Jaap; Peetsma, Thea; van der Veen, Ineke",2014
"New Look at a Persistent Problem: Inequality, Mathematics Achievement, and Teaching","Georges, Annie; Pallas, Aaron M.",2010
Evaluation of Patterning Instruction for Kindergartners,"Strauss, Lauren I.; Peterson, Matthew S.; Kidd, Julie K.; Choe, Jihyae; Lauritzen, Hans Christian; Patterson, Allyson B.; Holmberg, Courtney A.; Gallington, Debbie A.; Pasnak, Robert",2020
Career Readiness: An Analysis of Text Complexity for Occupational Reading Materials,"Wei, Hua; Cromwell, Ashley Melissa; McClarty, Katie Larsen",2016
Reported and Unreported Teacher-Student Sexual Harassment,"Wishnietsky, Dan H.",1991
An Examination of Academic Coping among Taiwanese Adolescents,"Shih, Shu-Shen",2015
Impact of Sustained Professional Development in STEM on Outcome Measures in a Diverse Urban District,"Capraro, Robert M.; Capraro, Mary Margaret; Scheurich, James Joseph; Jones, Meredith; Morgan, Jim; Huggins, Kristin Shawn; Corlu, M. Sencer; Younes, Rayya; Han, Sunyoung",2016
"The Association among Literacy Proficiency, Effortful Control, and Frustration","Huang, Su-Ying; Yeh, Li-Li",2019
Classroom Instruction and the Mathematics Achievement of Non-English Learners and English Learners,"Valle, Melisa S.; Waxman, Hersh C.; Diaz, Zulmaris; Padron, Yolanda N.",2013
Teacher's Aides in Kindergarten: Effects on Achievement for Students with Disabilities,"Gottfried, Michael A.",2018
Behavior Problems in Elementary School among Low-Income Boys: The Role of Teacher-Child Relationships,"Collins, Brian Andrew; O'Connor, Erin Eileen; Supplee, Lauren; Shaw, Daniel S.",2017
Investigating Perceptions of Gender Education by Students and Teachers in Taiwan,"Hong, Zuway-R; Lawrenz, Frances; Veach, Patricia McCarthy",2005
Effects of Peer Interaction during Computer-Based Mathematics Instruction,"Hooper, Simon",1992
A Delphi Study: The Characteristics of Democratic Schools,"Korkmaz, H. Eylem; Erden, Münire",2014
Ecological Correlates of Bullying and Peer Victimization among Urban African American Adolescents,"Lee, Jeoung Min; Hong, Jun Sung; Resko, Stella M.; Gonzalez-Prendes, A. Antonio; Voisin, Dexter R.",2021
Effect of Demographic and Personal Variables on Achievement in Eighth-Grade Algebra,"McCoy, Leah P.",2005
Science Reading and Self-Regulated Learning: Evidence from Eye Movements of Middle-School Readers,"Wang, Tzu-Ning; Jian, Yu-Cin; Wu, Chao-Jung; Li, Ping",2022
Family Structure and Parental Involvement in the Intergenerational Parallelism of School Adversity,"Kaplan, Diane S.; Liu, Xiaoru; Kaplan, Howard B.",2000
"Standards for Effective Pedagogy, Classroom Organization, English Proficiency, and Student Achievement","Doherty, R. William; Hilberg, R. Soleste",2007
Family Preparation for School Entry and the Role of Transition Practices,"Bérubé, Annie; Ruel, Julie; April, Johanne; Moreau, André C.",2018
Exploring the Effects of Project-Based Learning in Secondary Mathematics Education,"Holmes, Vicki-Lynn; Hwang, Yooyeun",2016
Students' Engagement in a Science Classroom: Does Knowledge Diversity Matter?,"Zhao, Jian; Lin, Lijia; Sun, Jiangshan; Zheng, Xudong; Yin, Jia",2018
The Role of Academic Ability Indicators in Big-Fish-Little-Pond Effect Research: A Comparison Study,"Vogl, Katharina; Schmidt, Isabelle; Preckel, Franzis",2018
Early Adolescents' Motivation during Science Investigation,"Patrick, Helen; Yoon, Caroline",2004
Linking Parent Involvement with Student Achievement: Do Race and Income Matter?,"Desimone, Laura",1999
Interview [with Dr. Gerald W. Bracey],,2007
Homework Completion at the Secondary School Level: A Multilevel Analysis,"Xu, Jianzhong",2011
The Sandia Report and U.S. Achievement: An Assessment,"Stedman, Lawrence C.",1994
"Parental Involvement in Education during Middle School: Perspectives of Ethnically Diverse Parents, Teachers, and Students","Hill, Nancy E.; Witherspoon, Dawn P.; Bartz, Deborah",2018
The Revising Processes of Sixth-Grade Writers with and without Peer Feedback,"Olson, Vicki L. Brakel",1990
Influences of Workplace Conditions on Teachers' Job Satisfaction,"Ma, Xin; MacMillan, Robert B.",1999
Influence of Self-Efficacy on Elementary Students' Writing,"Pajares, Frank; Viliante, Gio",1997
The Structure of Phonological Awareness in European Portuguese: A Study of Preschool Children,"Meira, Ângela; Cadime, Irene; Leopoldina Viana, Fernanda",2019
Sixth-Grade Students' Engagement in Academic Tasks,"Parsons, Seth A.; Malloy, Jacquelynn A.; Parsons, Allison Ward; Peters-Burton, Erin E.; Burrowbridge, Sarah Cohen",2018
Effect of School Population Socioeconomic Status on Individual Academic Achievement,"Caldas, Stephen J.; Bankston, Carl, III",1997
Social Capital and Determinants of Immigrant Family Educational Involvement,"Tang, Sandra",2015
The Impact of Supplemental Instruction on Low-Achieving Adolescents' Reading Engagement,"Cantrell, Susan Chambers; Almasi, Janice F.; Rintamaa, Margaret; Carter, Janis C.; Pennington, Jessica; Buckman, D. Matt",2014
Reading Time in School: Effect on Fourth Graders' Performance on a Criterion-Referenced Comprehension Test,"Reutzel, D. Ray; Hollingsworth, Paul M.",1991
Confidentiality with Minors: The Need for Policy To Promote and Protect,"Stone, Carolyn; Isaacs, Madelyn L.",2003
Executive Functioning Predicts Academic Achievement in Middle School: A Four-Year Longitudinal Study,"Samuels, William Ellery; Tournaki, Nelly; Blackman, Sheldon; Zilinski, Christopher",2016
Statistical Significance and Effect Size in Education Research: Two Sides of a Coin,"Fan, Xitao",2001
Influence of Teachers and Schools on Students' Civic Outcomes in Latin America,"Treviño, Ernesto; Béjares, Consuelo; Villalobos, Cristóbal; Naranjo, Eloísa",2017
A School-Based Motivational Intervention to Promote Physical Activity from a Self-Determination Theory Perspective,"González-Cutre, David; Sierra, Ana C.; Beltrán-Carrillo, Vicente J.; Peláez-Pérez, Manuel; Cervelló, Eduardo",2018
Learning: What Do Primary Pupils Think about It?,"Sahin Taskin, Cigdem",2012
Why Do Teachers Not Practice What They Believe regarding Technology Integration?,"Chen, Chao-Hsiu",2008
Effects of Technology Immersion on Middle School Students' Learning Opportunities and Achievement,"Shapley, Kelly; Sheehan, Daniel; Maloney, Catherine; Caranikas-Walker, Fanny",2011
The Relations between Student Motivational Beliefs and Cognitive Engagement in High School,"Walker, Christopher O.; Greene, Barbara A.",2009
Increasing Text Comprehension and Graphic Note Taking Using a Partial Graphic Organizer,"Robinson, Daniel H.; Katayama, Andrew D.; Beth, Alicia; Odom, Susan; Hsieh, Ya-Ping; Vanderveen, Arthur",2006
The Role of Student-Teacher Ratio in Parents' Perceptions of Schools' Engagement Efforts,"Rodriguez, Raymond J.; Elbaum, Batya",2014
Homework Purposes Reported by Secondary School Students: A Multilevel Analysis,"Xu, Jianzhong",2010
Advancing Integrated STEM Learning through Engineering Design: Sixth-Grade Students' Design and Construction of Earthquake Resistant Buildings,"English, Lyn D.; King, Donna; Smeed, Joanna",2017
"A Reading Model of Young EFL Learners Regarding Attention, Cognitive-Load and Auditory-Assistance","Yang, Juan; Qi, Xiaofei; Wang, Ling; Sun, Bo; Zheng, Mengxue",2022
Do Minorities Experience Larger Lasting Benefits from Small Classes?,"Nye, Barbara; Hedges, Larry V.; Konstantopoulos, Spyros",2004
Peers and Academic Achievement: A Longitudinal Study on Selection and Socialization Effects of In-Class Friends,"Fortuin, Janna; van Geel, Mitch; Vedder, Paul",2016
Concept Maps in the Classroom: A New Approach to Reveal Students' Conceptual Change,"Sellmann, Daniela; Liefländer, Anne K.; Bogner, Franz X.",2015
Relationship Between Psychosocial Factors and Academic Achievement among African American Students,"Powell, Cecil L.; Arriola, Kimberly R. Jacob",2003
A Model of the Role of Error Detection and Self-Regulation in Academic Performance,"Zamora, Ángela; Súarez, José Manuel; Ardura, Diego",2018
What Does Team Teaching Mean? A Case Study of Interdisciplinary Teaming,"Murata, Roberta",2002
Effects of Transferring to STEM-Focused Charter and Magnet Schools on Student Achievement,"Judson, Eugene",2014
"Reexamining Roles of Learner, Text, and Context in Secondary Literacy","Moje, Elizabeth B.; Dillon, Deborah R.; O'Brien, David",2000
Student Performance in Dealing with Fractions,"Aksu, Meral",1997
"Television Viewing, Educational Quality of the Home Environment, and School Readiness","Clarke, Angela Teresa; Kurtz-Costes, Beth",1997
"Modeling the Relations among Task Value, Strategies, Social Factors, and English Achievement","Chou, Mu-Hsuan",2021
Effects of Student Gender and Socioeconomic Status on Teacher Perceptions,"Auwarter, Amy E.; Aruguete, Mara S.",2008
Reading Rescue: A Follow-Up on Effectiveness of an Intervention for Struggling Readers,"Pace Miles, Katharine; Lauterbach, Mark D.; Murano, Dana M.; Dembek, Ginny A.",2019
"Read Two Impress and the Neurological Impress Method: Effects on Elementary Students' Reading Fluency, Comprehension, and Attitude","Young, Chase; Pearce, Daniel; Gomez, Jeannette; Christensen, Rosalynn; Pletcher, Bethanie; Fleming, Kathleen",2018
The Effect of Financial Education on Pupils' Financial Knowledge and Skills: Evidence from a Solomon Four-Group Design,"Dare, Shekinah E.; van Dijk, Wilco W.; van Dijk, Eric; van Dillen, Lotte F.; Gallucci, Marcello; Simonse, Olaf",2020
High School Factors That Influence Students to Remain in School,"Ainley, John; And Others",1991
Primary Prevention of Reading Failure: Effect of Universal Peer Tutoring in the Early Grades,"Jones, Giavana; Ostojic, Dragana; Menard, Jessica; Picard, Erin; Miller, Carlin J.",2017
Exploring a Conceptual Model-Based Approach to Teaching Situated Word Problems: A Response to Yan Ping Xin and Dake Zhang,"Jitendra, Asha K.",2011
Living in the Space between Participant and Researcher as a Narrative Inquirer: Examining Ethnic Identity of Chinese Canadian Students as Conflicting Stories to Live By,"Chan, Elaine",2010
Level of Economic Understanding for Senior High School Students in Ohio,"Stock, Paul A.; Rader, William D.",1997
A Multi-Sensory Tutoring Program for Students at Risk of Reading Difficulties: Evidence from a Randomized Field Experiment,"Bøg, Martin; Dietrichson, Jens; Isaksson, Anna A.",2021
Building Bridges in Social Studies Education: Professional Development School Partnerships,"Vontz, Thomas S.; Franke, Jim; Burenheide, Brad; Bietau, Lisa",2007
Predicting Teacher Commitment Using Principal and Teacher Efficacy Variables: An HLM Approach,"Ware, Herbert W.; Kitsantas, Anastasia",2011
"Examining Differences in Kindergarteners' Mathematics Learning: A Closer Look at Instruction, Socioeconomic Status, and Race","Jung, Eunjoo",2014
Understanding Students' Social Interactions during Making Activities Designed to Promote Computational Thinking,"Herro, Danielle; Quigley, Cassie; Plank, Holly; Abimbade, Oluwadara",2021
Predicting Preservice Teachers' Cognitive Engagement with Goals and Epistemological Beliefs,"Ravindran, Bhuvaneswari; Greene, Barbara A.; DeBacker, Teresa K.",2005
Predicting Conceptual Understanding with Cognitive and Motivational Variables,"Alao, Solomon; Guthrie, John T.",1999
Effects of Frequent Testing of Secondary Algebra Students,"Kika, Frank M.; And Others",1992
Changes in Science Teachers' Conceptions and Connections of STEM Concepts and Earthquake Engineering,"Cavlazoglu, Baki; Stuessy, Carol",2017
School Cultures: Organizational Value Orientation and Commitment,"Shaw, Jim; Reyes, Pedro",1992
The Need to Distinguish between Quantity and Quality in Research on Parental Involvement: The Example of Parental Help with Homework,"Moroni, Sandra; Dumont, Hanna; Trautwein, Ulrich; Niggli, Alois; Baeriswyl, Franz",2015
Receptive Vocabulary and Cross-Language Transfer of Phonemic Awareness in Kindergarten Children,"Atwill, Kim; Blanchard, Jay; Gorin, Joanna S.; Burstein, Karen",2007
Comparison of the Effect of Online Teaching during COVID-19 and Pre-Pandemic Traditional Teaching in Compulsory Education,"Feng, Xiaoying; Ioan, Neacsu; Li, Yan",2021
Teaching Young Students Strategies for Planning and Drafting Stories: The Impact of Self-Regulated Strategy Development,"Tracy, Brenda; Reid, Robert; Graham, Steve",2009
Parental Notions of School Readiness: How Have They Changed and Has Preschool Made a Difference?,"Belfield, Clive; Garcia, Emma",2014
Teaching Causal Reasoning Through Cognitive Apprenticeship: What are Results from Situated Learning?,"Hendricks, Cher C.",2001
Courageous Reading Instruction: The Effects of an Elementary Motivation Intervention,"Marinak, Barbara A.",2013
The Professional Student Program for Educational Resilience: Enhancing Momentary Engagement in Classwork,"Torsney, Benjamin M.; Symonds, Jennifer E.",2019
Secondary Teacher Attitudes toward Including English-Language Learners in Mainstream Classrooms,"Reeves, Jenelle R.",2006
Word Problem-Solving Instruction in Inclusive Third-Grade Mathematics Classrooms,"Griffin, Cynthia C.; Jitendra, Asha K.",2009
"Influence of Experience, Grade Level, and Subject Area on Teachers' Assessment Practices","Bol, Linda; Stephenson, Patricia L.; O'Connell, Ann A.; Nunnery, John A.",1998
Striking the Right Balance: Students' Motivation and Affect in Elementary Mathematics,"Schweinle, Amy; Meyer, Debra K.; Turner, Julianne C.",2006
The Predictive Validity of Kindergarten Readiness Judgments: Lessons from One State,"Goldstein, Jessica; McCoach, D. Betsy; Yu, HuiHui",2017
"Obesity, High-Calorie Food Intake, and Academic Achievement Trends among U.S. School Children","Li, Jian; O'Connell, Ann A.",2012
Explaining Parents' School Involvement: The Role of Ethnicity and Gender in the Netherlands,"Fleischmann, Fenella; de Haas, Annabel",2016
The Measurement and Predictive Ability of Metacognition in Middle School Learners,"Sperling, Rayne A.; Richmond, Aaron S.; Ramsay, Crystal M.; Klapp, Michael",2012
Enhancing Arithmetic and Word-Problem Solving Skills Efficiently by Individualized Computer-Assisted Practice,"Schoppek, Wolfgang; Tulis, Maria",2010
"Exploring the Value Added of a Guided, Silent Reading Intervention: Effects on Struggling Third-Grade Readers' Achievement","Reutzel, D. Ray; Petscher, Yaacov; Spichtig, Alexandra N.",2012
Impact of School Culture on Effectiveness of Secondary Schools with Disadvantaged Students,"Gaziel, Haim H.",1997
Unmasking Sex and Social Class Differences in Childhood Aggression: The Case for Language Maturity,"Piel, John A.",1990
Impact of Life Skills Training on Teachers' Perceived Environment and Self-Efficacy,"Shechtman, Zipora; Levy, Merav; Leichtentritt, Judy",2005
"Need for Closure, Achievement Goals, and Cognitive Engagement in High School Students","Harlow, Lea; DeBacker, Teresa; Crowson, H. Michael",2011
Impact of Peer Networks on Achievement of High School Algebra Students,"Nichols, Joe D.; White, Janet",2001
Teacher Beliefs as Predictors of Adolescents' Cognitive Engagement and Achievement in Mathematics,"Archambault, Isabelle; Janosz, Michel; Chouinard, Roch",2012
Achievement Loss Associated with the Transition to Middle School and High School,"Alspaugh, John W.",1998
"Examining Gender Differences in Ability Group Placement at the Onset of Schooling: The Role of Skills, Behaviors, and Teacher Evaluations","Catsambis, Sophia; Mulkey, Lynn M.; Buttaro, Anthony, Jr.; Steelman, Lala Carr; Koch, Pamela Ray",2012
"Students' Level of Boredom, Boredom Coping Strategies, Epistemic Curiosity, and Graded Performance","Eren, Altay; Coskun, Hamit",2016
Measuring the Rothko Experience in School Visitors to Modern Art Museums,"Urpí, Carmen; Reparaz, Charo; Echarri, Fernando",2022
Effects of Transdisciplinary STEAM Lessons on Student Critical and Creative Thinking,"Wilson, Hope E.; Song, HwanHee; Johnson, Julie; Presley, Lucinda; Olson, Kimberly",2021
Examining Alignment between State Performance Assessment and Mathematics Classroom Activities,"Parke, Carol S.; Lane, Suzanne",2008
Teacher Beliefs and Student Achievement in Urban Schools Serving African American Students,"Love, Angela; Kruger, Ann Cale",2005
Analyzing the Discourse of Dropouts and Resilient Students,"Lessard, Anne; Butler-Kisber, Lynn; Fortin, Laurier; Marcotte, Diane",2014
"After-School Pursuits, Ethnicity, and Achievement for 8th- and 10th-Grade Students","Schreiber, James B.; Chambers, Elisha A.",2002
Incremental Implementation of Learning Style Strategies among Urban Low Achievers,"Braio, Ann; Beasley, T. Mark; Dunn, Rita; Quinn, Peter; Buchanan, Karen",1997
Teacher Learning of Subject Matter Knowledge through an Educative Curriculum,"Noh, Jihwa; Webb, Matthew",2015
Effects of Extracurricular Activities on Postsecondary Completion for Students with Disabilities,"Palmer, Ashley N.; Elliott, William, III; Cheatham, Gregory A.",2017
"Mathematics and Science Achievement: Effects of Motivation, Interest, and Academic Engagement","Singh, Kusum; Granville, Monique; Dika, Sandra",2002
Rubric-Referenced Self-Assessment and Self-Efficacy for Writing,"Andrade, Heidi L.; Wang, Xiaolei; Du, Ying; Akawi, Robin L.",2009
Perceptions of Motivation among School Counselors and Teachers,"Rich, Yisrael; Shiram, Zisa",2005
An Investigation of the Stability and Variability in Young Children's Self-Regulated Learning Behaviors in Kindergarten,"Neitzel, Carin; Connor, Lisa",2018
Self-Regulatory Climate: A Positive Attribute of Public Schools,"Adams, Curt M.; Ware, Jordan K.; Miskell, Ryan C.; Forsyth, Patrick B.",2016
Impact of the KWL Reading Strategy on Mathematical Problem-Solving Achievement of Primary School 4th Graders,"Usta, Neslihan; Yilmaz, Muamber",2020
Learner Profiles in Secondary Education: Occurrence and Relationship with Performance and Student Characteristics,"Rogiers, Amélie; Merchie, Emmelien; Van Keer, Hilde",2019
Exploring Learning Culture in Finnish and South Korean Classrooms,"Heo, Heeok; Leppisaari, Irja; Lee, Okhwa",2018
Cooperative Learning in the Secondary Mathematics Classroom,"Whicker, Kristina M.; Bol, Linda; Nunnery, John A.",1997
Using Metalinguistic Awareness in First Grade to Predict Reading Achievement in Third and Fifth Grades,"Dreher, Mariam Jean; Zenge, Sara D.",1990
Reliability of Scores on the Summative Performance Assessments,"Yang, Yanyun; Oosterhof, Albert; Xia, Yan",2015
Examining the Impacts of Extended Vocabulary Instruction in Mixed-English-Proficiency Science Classrooms,"Van Orman, Dustin S. J.; Ardasheva, Yuliya; Carbonneau, Kira J.; Firestone, Jonah B.",2021
